"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Main Level West (outside Toilet M18)",22.273451,114.188136,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Main Level West (outside Toilet M19)",22.273451,114.188136,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Suite Level West (near entrance)",22.273451,114.188136,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Upper Level East (outside Toilet UE3)",22.273342,114.18908,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Upper Level East (outside Toilet UE5)",22.272387,114.189039,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Upper Level West (outside Toilet UW3)",22.273451,114.188136,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Stadium","55 Eastern Hospital Road, So Kon Po","Wan Chai","Hong Kong Island","Upper Level West (outside Toilet UW5)",22.272397,114.188135,"Fountain type",1,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Indoor",
"Hong Kong Tennis Centre","133 Wong Nai Chung Gap Road, Hong Kong","Wan Chai","Hong Kong Island","Near entrance of men's and ladies changing room",22.259907,114.192483,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Hong Kong Tennis Centre","133 Wong Nai Chung Gap Road, Hong Kong","Wan Chai","Hong Kong Island","Outside men's changing room",22.259907,114.192483,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kwai Fong Street Playground","Kwai Fong Street, Happy Valley","Wan Chai","Hong Kong Island","Near basketball court",22.266765,114.186712,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kwai Fong Street Playground","Kwai Fong Street, Happy Valley","Wan Chai","Hong Kong Island","Near toilet",22.266677,114.186796,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Lockhart Road Sports Centre","Hennessy Road, Wan Chai","Wan Chai","Hong Kong Island","Near ladies' toilet on the  10/F",22.278118,114.175281,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Lockhart Road Sports Centre","Hennessy Road, Wan Chai","Wan Chai","Hong Kong Island","Near staircase to arena on the 11/F",22.278118,114.175281,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Lockhart Road Sports Centre","Hennessy Road, Wan Chai","Wan Chai","Hong Kong Island","Near staircase to fitness room on the 12/F",22.278118,114.175281,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Morrison Hill Swimming Pool","7 Oi Kwan Road, Wan Chai","Wan Chai","Hong Kong Island","Near the plant room entrance at teaching pool",22.27661,114.178985,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Morrison Hill Swimming Pool","7 Oi Kwan Road, Wan Chai","Wan Chai","Hong Kong Island","Near the parental area at teaching pool",22.276225,114.179036,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Morrison Hill Swimming Pool","7 Oi Kwan Road, Wan Chai","Wan Chai","Hong Kong Island","Near the exit of men's changing room at training pool",22.276074,114.178863,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Indoor","For use by venue / facility users"
"Queen Elizabeth Stadium","18 Oi Kwan Road","Wan Chai","Hong Kong Island","B/F, 2/F, 3/F",22.275182,114.178968,"Fountain type",6,"07:00","23:00",,"Ambient Temperature","Indoor",
"So Kon Po Recreation Ground","No.55 Caroline Hill Road, So Kon Po, Causeway Bay","Wan Chai","Hong Kong Island","Near staircase on G/F",22.275592,114.188784,"Fountain type",1,"08:00","22:30","Open at hiring time interval only","Ambient temperature / Cold","Indoor","For use by venue / facility hirers"
"Southorn Playground","130-150 Hennessy Road, Hong Kong ","Wan Chai","Hong Kong Island","Near football pitch of Hennessy Road entrance",22.276798,114.171821,"Fountain type",1,"06:00","23:30",,"Ambient temperature","Outdoor",
"Southorn Playground","130-150 Hennessy Road, Hong Kong ","Wan Chai","Hong Kong Island","Near children's play area of Johnston Road entrance",22.277254,114.172248,"Fountain type",1,"06:00","23:30",,"Ambient temperature","Outdoor",
"Southorn Playground","130-150 Hennessy Road, Hong Kong ","Wan Chai","Hong Kong Island","Near office of Luard Road entrance",22.276593,114.172498,"Fountain type",1,"06:00","23:30",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Tennis Courts",22.28224,114.189322,"Fountain type",4,"07:00","23:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Near Basketball Courts",22.282418,114.190914,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Near No.1 Soccer Pitch",22.280773,114.187713,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Near No.4 Soccer Pitch",22.281763,114.18916,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Near Jogging Trail",22.282038,114.18751,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Near Pebble Walking Trail and No. 2B Children's Playground",22.283507,114.189221,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Roller Skating Rinks",22.284067,114.190367,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Victoria Park","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Bowling Green ",22.283918,114.189017,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Indoor",
"Victoria Park Swimming Pool","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","Near the turnstile",22.283415,114.190481,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Victoria Park Swimming Pool","1 Hing Fat Street, Causeway Bay","Wan Chai","Hong Kong Island","At pool deck area near the multi-purpose pool",22.283415,114.190481,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature / Cold","Indoor","For use by venue / facility users"
"Wan Chai Gap Park","Coombe Road, Wan Chai","Wan Chai","Hong Kong Island","Near Kiosk",22.266978,114.169409,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Wan Chai Park","Cross Lane, Wan Chai","Wan Chai","Hong Kong Island","Near Soccer Pitch",22.275889,114.176105,"Fountain type",2,"06:00","23:00",,"Ambient temperature","Outdoor",
"Wan Chai Park","Cross Lane, Wan Chai","Wan Chai","Hong Kong Island","Near Chess Table",22.275889,114.176105,"Fountain type",1,"06:00","23:00",,"Ambient temperature","Outdoor",
"Wan Chai Sports Ground","20 Tonnochy Road, Wan Chai, HK","Wan Chai","Hong Kong Island","Outside ladies' changing room ",22.281273,114.177969,"Fountain type",2,"08:00","22:00","Maintenance Day","Ambient temperature","Outdoor","Facilities are only used for booking by Organizations, Schools and Sports Associations. "
"Wan Chai Sports Ground","20 Tonnochy Road, Wan Chai, HK","Wan Chai","Hong Kong Island","Outside men's changing room ",22.281273,114.177969,"Fountain type",1,"08:00","22:00","Maintenance Day","Ambient temperature","Outdoor","Facilities are only used for booking by Organizations, Schools and Sports Associations. "
"Wan Chai Sports Ground","20 Tonnochy Road, Wan Chai, HK","Wan Chai","Hong Kong Island","Inside first aid room",22.281273,114.177969,"Fountain type",1,"08:00","22:00","Maintenance Day","Hot / Cold","Indoor","Facilities are only used for booking by Organizations, Schools and Sports Associations. "
"Wan Chai Sports Ground","20 Tonnochy Road, Wan Chai, HK","Wan Chai","Hong Kong Island","Near the temporary spectator stand",22.281273,114.177969,"Fountain type",2,"08:00","22:00","Maintenance Day","Ambient temperature","Outdoor","Facilities are only used for booking by Organizations, Schools and Sports Associations. "
"Wan Chai Swimming Pool","27 Harbour Road , Wan Chai ","Wan Chai","Hong Kong Island","1/F near stair no. 13 ",22.281244,114.176365,"Fountain type",1,"07:00","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Wan Chai Swimming Pool","27 Harbour Road , Wan Chai ","Wan Chai","Hong Kong Island","3/F near ladies' toilet ",22.281245,114.176465,"Fountain type",1,"07:00","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Wan Chai Swimming Pool","27 Harbour Road , Wan Chai ","Wan Chai","Hong Kong Island","Inside Babycare room",22.281015,114.176069,"Non-fountain type",1,"07:00","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Hot / Cold","Indoor","For use by venue / facility users"
"Wong Nai Chung Sports Centre","Yuk Sau Street, Happy Valley","Wan Chai","Hong Kong Island","Near men's changing room on the 4/F",22.269141,114.185699,"Fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Wong Nai Chung Sports Centre","Yuk Sau Street, Happy Valley","Wan Chai","Hong Kong Island","Near the men's changing room on the 4/F",22.269141,114.185699,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Wong Nai Chung Sports Centre","Yuk Sau Street, Happy Valley","Wan Chai","Hong Kong Island","Near office on the 5/F",22.269141,114.185699,"Fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Wong Nai Chung Sports Centre","Yuk Sau Street, Happy Valley","Wan Chai","Hong Kong Island","Near arena main entrance on the 6/F",22.269141,114.185699,"Fountain type",2,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Wong Nai Chung Sports Centre","Yuk Sau Street, Happy Valley","Wan Chai","Hong Kong Island","Inside babycare room on the 4/F",22.269141,114.185699,"Fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Carpenter Road Park","Carpenter Park Road","Kowloon City","Kowloon","Outside the toilet located near Tung Tau Tsuen Road",22.332113,114.188456,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Carpenter Road Park","Carpenter Park Road","Kowloon City","Kowloon","Outside the toilet located near Western style pavilion",22.331548,114.189164,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Carpenter road Park","Carpenter Road ","Kowloon City","Kowloon","Near the jogging track",22.331245,114.189978,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chung Yee Street Garden","Chung Yee Street, Ho Man Tin","Kowloon City","Kowloon","Near the Men's / Ladies' Toilet",22.311003,114.181294,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Fat Kwong Street Sitting-out Area","Fat Kwong Street, Hung Hom","Kowloon City","Kowloon","Near Entrance",22.309113,114.187224,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Fat Kwong Street Sports Centre","18 Good Shepherd Street, Ho Man Tin","Kowloon City","Kowloon","Near the entrance of Men's and Ladies' Toilets",22.3149798,114.1813201,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ho Man Tin East Service Reservoir Playground","Fat Kwok Street, Kowloon City","Kowloon City","Kowloon","Near Men's changing room",22.313286,114.182096,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ho Man Tin Park","Chung Yee Street, Ho Man Tin","Kowloon City","Kowloon","At the Basketball Court",22.31186,114.180968,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Ho Man Tin Park","Chung Yee Street, Ho Man Tin","Kowloon City","Kowloon","At Soccer Pitch near Basketball Court",22.31186,114.180968,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Ho Man Tin Park","Chung Yee Street, Ho Man Tin","Kowloon City","Kowloon","At Soccer Pitch near Filtration Plant Room",22.31186,114.180968,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Ho Man Tin Sports Centre","Chung Yee Street, Ho Man Tin","Kowloon City","Kowloon","Near toilet on the 1/F",22.311605,114.181196,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Ho Man Tin Swimming Pool","Chung Yee Street, Ho Man Tin","Kowloon City","Kowloon","Pool Deck area near Ladies' Changing Room Exit",22.312289,114.181223,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Indoor","For use by venue / facility users"
"Hoi Sham Park","Yuk Yat Street, Tokwawan, Kowloon.","Kowloon City","Kowloon","Near court No.2 of 5-a-side  soccer pitch",22.315199,114.191117,"Fountain type",2,"05:30","23:30",,"Ambient temperature","Outdoor",
"Hung Hom Municipal Services Building Sports Centre","3-5/F., Hung Hom Municipal Services Building, 11 Ma Tau Wai Road, Hung Hom, Kowloon ","Kowloon City","Kowloon","Corridor of 3/F",22.30749,114.187488,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Hung Hom Municipal Services Building Sports Centre","3-5/F., Hung Hom Municipal Services Building, 11 Ma Tau Wai Road, Hung Hom, Kowloon ","Kowloon City","Kowloon","Corridor of 4/F",22.30749,114.187488,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Hung Hom Municipal Services Building Sports Centre","3-5/F., Hung Hom Municipal Services Building, 11 Ma Tau Wai Road, Hung Hom, Kowloon ","Kowloon City","Kowloon","Corridor of 5/F",22.30749,114.187488,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Hung Hom Promenade","Next to the Hung Hom Pier","Kowloon City","Kowloon","Near Entrance",22.300974,114.189165,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Hutchison Park","Dyer Street, Hung Hom","Kowloon City","Kowloon","Near Toilet",22.307731,114.191603,"Fountain type",1,"00:00","24:00",,"Hot / Cold","Outdoor",
"Junction Road Park","195, Junction Road Park, Kowloon City, Kowloon.","Kowloon City","Kowloon","Near Ladies' Toilet",22.338502,114.18413,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Kai Tak Cruise Terminal Park","R/F, Kai Tak Cruise Terminal,33 Shing Fung Road, Kai Tak, Kowloon","Kowloon City","Kowloon","At Atrium N ",22.307287,114.212038,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kai Tak Cruise Terminal Park","R/F, Kai Tak Cruise Terminal,33 Shing Fung Road, Kai Tak, Kowloon","Kowloon City","Kowloon","At Atrium B",22.306413,114.212838,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kai Tak Cruise Terminal Park","R/F, Kai Tak Cruise Terminal,33 Shing Fung Road, Kai Tak, Kowloon","Kowloon City","Kowloon","At Atrium A ",22.305352,114.213994,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kai Tak Cruise Terminal Park","R/F, Kai Tak Cruise Terminal,33 Shing Fung Road, Kai Tak, Kowloon","Kowloon City","Kowloon","At Atrium S",22.304625,114.214874,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Kai Tak Runway Park","33 Shing Fung Road, Kai Tak, Kowloon","Kowloon City","Kowloon","Near Arbour No. 1",22.3052532,114.2154815,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kai Tak Runway Park","33 Shing Fung Road, Kai Tak, Kowloon","Kowloon City","Kowloon","Near Toilet",22.3049722,114.2154222,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon City Sports Centre","3/F., Kowloon City Municipal Services Building, 100 Nga Tsin Wai Road, Kowloon City","Kowloon City","Kowloon","Near the Men's Toilet",22.329543,114.1868333,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Kowloon Public Library","5 Pui Ching Road","Kowloon City","Kowloon","near the entrance of Student Study Room",22.318907,114.176096,"Fountain type",1,"00:00","24:00",,"Ambient Temperature","Outdoor",
"Kowloon Tsai Park","No. 13 Inverness Road","Kowloon City","Kowloon","Outside Men's Changing Room cum Toilet",22.331489,114.184528,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon Tsai Park","No. 13 Inverness Road","Kowloon City","Kowloon","Outside Toilet at Hard-surface Basketball court",22.333725,114.183415,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon Tsai Park","No. 13 Inverness Road","Kowloon City","Kowloon","Outside store room of Tennis Court",22.334005,114.184676,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kowloon Tsai Sports Ground","No. 13 Inverness Road","Kowloon City","Kowloon","Outside Men's Toilet",22.330107,114.183654,"Fountain type",1,"06:00","18:00","Maintenance Day","Cold","Outdoor",
"Kowloon Tsai Sports Ground","No. 13 Inverness Road","Kowloon City","Kowloon","Outside Ladies' Toilet",22.329957,114.183885,"Fountain type",1,"06:00","18:00","Maintenance Day","Cold","Outdoor",
"Kowloon Tsai Sports Ground","No. 13 Inverness Road","Kowloon City","Kowloon","Outside Office (A)",22.330127,114.183786,"Fountain type",1,"06:00","18:00","Maintenance Day","Cold","Outdoor",
"Kowloon Tsai Sports Ground","No. 13 Inverness Road","Kowloon City","Kowloon","Outside Office (B)",22.330118,114.18378,"Fountain type",1,"06:00","18:00","Maintenance Day","Cold","Outdoor",
"Kowloon Tsai Swimming Pool ","13 Inverness Road, Kowloon","Kowloon City","Kowloon","Pool deck area near men's changing room exit",22.333283,114.184858,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Kowloon Tsai Swimming Pool ","13 Inverness Road, Kowloon","Kowloon City","Kowloon","Pool deck area near ladies' changing room exit",22.332832,114.184616,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Kowloon Walled City Park","Tung Tsing Road, Kowlooon City, Kowloon.","Kowloon City","Kowloon","Near the Toilet",22.332951,114.190845,"Fountain type",2,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ma Tau Wai Road Playground","Mai Tau Wai Road","Kowloon City","Kowloon","Near Toilet",22.306101,114.192282,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Peace Avenue Playground","Peace Avenue","Kowloon City","Kowloon","Near Table Tennis Tables",22.305627,114.193217,"Fountain type",1,"07:00","23:00",,"Cold","Outdoor",
"Perth Street Sports Ground","No.3 Shek Ku Street","Kowloon City","Kowloon","Near Office",22.320555,114.181049,"Fountain type",1,"05:30","23:00","Maintenance Day","Cold","Outdoor",
"Sheung Lok Street Garden","Sheung Lok Street, Kowloon City","Kowloon City","Kowloon","Near toilet",22.314299,114.184434,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sheung Shing Street Park","Princess Margaret Road, Ho Man Tin, Kowloon","Kowloon City","Kowloon","Inside the Pet Garden",22.317918,114.17916,"Fountain type",1,"09:00","23:00",,"Ambient temperature","Outdoor",
"Sheung Shing Street Park","Princess Margaret Road, Ho Man Tin, Kowloon","Kowloon City","Kowloon","Near the Women's Toilet",22.317918,114.17916,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Wan Shan Park","Wan Hoi Street, Hung Hom","Kowloon City","Kowloon","Near Toilet",22.306101,114.192282,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Tai Wan Shan Park","Wan Hoi Street, Hung Hom","Kowloon City","Kowloon","Near Promenade",22.305627,114.193217,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Tai Wan Shan Swimming Pool","No.7, Wan Hoi Street, Hung Hom.","Kowloon City","Kowloon","Lobby (Outside Men's and Ladies' Changing Room)A",22.305249,114.192367,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Indoor","For use by venue / facility users"
"Tai Wan Shan Swimming Pool","No.7, Wan Hoi Street, Hung Hom.","Kowloon City","Kowloon","Lobby (Outside Men's and Ladies' Changing Room)B",22.305249,114.192367,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Indoor","For use by venue / facility users"
"Tin Kwong Road Recreation Ground","17 Tin Kwong Road, Kowloon","Kowloon City","Kowloon","Near First Aid Room",22.323191,114.184417,"Fountain type",1,"08:00","18:00",,"Cold","Outdoor","For use by venue / facility hirers"
"Tin Kwong Road Tennis Court","15 Tin Kwong Road, Kowloon","Kowloon City","Kowloon","Near booking office",22.322893,114.185785,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"To Kwa Wan Recreation Ground","66 Ha Heung Road, To Kwa Wan","Kowloon City","Kowloon","At spectator stand outside Ladies' changing room",22.31964,114.19049,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"To Kwa Wan Sports Centre","66 Ha Heung Road, To Kwa Wan","Kowloon City","Kowloon","Near the Men's toilet on the G/F",22.31907,114.19027,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"To Kwa Wan Sports Centre","66 Ha Heung Road, To Kwa Wan","Kowloon City","Kowloon","Near the Ladies' toilet on the G/F",22.31907,114.19027,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Winslow Street Playground ","Winslow Street, Hung Hom, Kowloon","Kowloon City","Kowloon","Near the Entrance",22.30726,114.182091,"Fountain type",2,"00:00","24:00",,"cold ","Outdoor",
"Wuhu Street Temporary Playground","Wuhu Street, Hung Hom","Kowloon City","Kowloon","Outside the office",22.309014,114.184015,"Fountain type",2,"06:30","23:00",,"Ambient temperature","Outdoor",
"Choi Hei Road Park","No. 3 Choi Hei Road, Kowloon Bay","Kwun Tong","Kowloon","Upper Level outside of Toilet",22.329493,114.216088,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Choi Hei Road Park","No. 3 Choi Hei Road, Kowloon Bay","Kwun Tong","Kowloon","Lower Level outside of Toilet",22.326568,114.216041,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Choi Wing Road Park","No. 88 Choi Wing Road, Kowloon Bay","Kwun Tong","Kowloon","Upper Level near the Tai Chi court",22.327215,114.218757,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Choi Wing Road Park","No. 88 Choi Wing Road, Kowloon Bay","Kwun Tong","Kowloon","Middle Level near Children's Play Area",22.327423,114.219085,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chun Wah Road Sports Centre","Top Floor , Lok Nga Court Carpark, 50 Chun Wah Rd, Ngau Tau Kok","Kwun Tong","Kowloon","Near entrance of the Sports Centre",22.3226,114.2205,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Hiu Kwong Street Sports Centre","2 Hiu Kwong Street, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Next to the Ladies' Toilet on the G/F",22.31993,114.227793,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Hong Ning Road Park","180 Hong Ning Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Outside the Toilet at Phase II",22.320194,114.226111,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Hong Ning Road Recreation Ground","Hong Ning Road, Kwun Tong","Kwun Tong","Kowloon","Near park office",22.31692,114.223336,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near Block 1 Toilet",22.329324,114.220155,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near Block 2 Toilet",22.329547,114.221157,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near Block 8 Toilet",22.330318,114.220692,"Fountain type",1,"09:00","18:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Inside Community Garden",22.329682,114.222724,"Fountain type",1,"08:00","18:00",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Spectator stand of Radio-Controlled Model Car Circuit A",22.329687,114.221923,"Fountain type",1,"09:00","22:30",,"Ambient temperature","Outdoor",
"Jordan Valley Park","No. 71, New Clear Water Bay Road, Kwun Tong, Kowloon","Kwun Tong","Kowloon","Near entrance of Radio-Controlled Model Car Circuit B",22.329951,114.221536,"Fountain type",1,"05:00","23:00",,"Ambient temperature","Indoor",
